,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education
0,ABW,1950,,,,,57.2,
1,ABW,1951,,,,,57.7,
2,ABW,1952,,,,,58.7,
3,ABW,1953,,,,,59.5,
4,ABW,1954,,,,,60.4,
5,ABW,1955,,,,,61.2,
6,ABW,1956,,,,,62.0,
7,ABW,1957,,5.223,,,62.6,
8,ABW,1958,,5.1022,,,63.1,
9,ABW,1959,,4.9689,,,63.7,
10,ABW,1960,,4.8204,,,64.2,
11,ABW,1961,,4.6548,,,64.5,
12,ABW,1962,,4.4713,,,64.8,
13,ABW,1963,,4.2714,,,65.1,
14,ABW,1964,,4.0594,,,65.3,
15,ABW,1965,,3.8416,,,65.5,
16,ABW,1966,,3.6251,,,66.1,
17,ABW,1967,,3.4175,,,66.4,
18,ABW,1968,,3.2255,,,66.8,
19,ABW,1969,,3.0543,,,67.2,
20,ABW,1970,,2.9079,,,67.6,
21,ABW,1971,,2.788,,,68.0,
22,ABW,1972,,2.691,,,68.6,
23,ABW,1973,,2.6132,,,69.1,
24,ABW,1974,,2.5524,,,69.5,
25,ABW,1975,,2.5061,,,69.8,
26,ABW,1976,,2.4715,,,70.0,
27,ABW,1977,,2.4456,,,70.3,
28,ABW,1978,,2.4252,,,70.5,
29,ABW,1979,,2.4078,,,70.8,
30,ABW,1980,,2.3918,,,71.1,
31,ABW,1981,,2.3769,,,71.7,
32,ABW,1982,,2.3637,,,72.0,
33,ABW,1983,,2.3525,,,72.1,
34,ABW,1984,,2.3422,,,72.3,
35,ABW,1985,,2.3316,,,72.4,
36,ABW,1986,,2.3199,,,72.5,
37,ABW,1987,,2.3066,,,72.8,
38,ABW,1988,,2.291,,,73.0,
39,ABW,1989,,2.2722,,,73.0,
40,ABW,1990,,2.3028,,,73.1,
41,ABW,1991,,2.3141,,,73.1,
42,ABW,1992,,2.2766,,,73.2,
43,ABW,1993,,2.2264,,,73.2,
44,ABW,1994,,2.1249,869167424.0,,73.3,
45,ABW,1995,,2.1905,836866560.0,,73.3,
46,ABW,1996,,2.1535,884450432.0,,73.4,
47,ABW,1997,,2.1437,935705280.0,,73.5,
48,ABW,1998,,1.9574,1005586240.0,,73.5,
49,ABW,1999,,1.8691,1064787904.0,,73.6,
50,ABW,2000,,1.904,1238222848.0,,73.6,
51,ABW,2001,,1.8327,1333920000.0,,73.6,
52,ABW,2002,,1.7631,1295143168.0,,73.7,
53,ABW,2003,,1.7469,1237990656.0,,73.8,
54,ABW,2004,,1.6828,1217041664.0,,73.6,
55,ABW,2005,,1.777,1282048384.0,,73.8,
56,ABW,2006,,1.9091,1316040064.0,,74.0,
57,ABW,2007,,1.9282,1311265024.0,,74.2,
58,ABW,2008,,1.9352,1518731776.0,,74.1,
59,ABW,2009,,1.919,1604112640.0,,74.6,
60,ABW,2010,,1.9412,1597046144.0,,75.4,
61,ABW,2011,,1.9615,1613069696.0,,75.5,
62,ABW,2012,,2.0276,,,75.5,
63,ABW,2013,,2.1166,,,75.6,
64,ABW,2014,,2.1484,,,75.6,
65,ABW,2015,,1.9721,,,75.7,
66,ABW,2016,,1.9534,,,75.6,
67,ABW,2017,,1.8393,,,75.9,
68,ABW,2018,,1.5869,,,76.1,
69,ABW,2019,,1.4858,,,76.2,
70,ABW,2020,,1.3252,,,75.7,
71,ABW,2021,,1.1803,,,74.6,
72,AFG,1950,,7.2484,,,27.7,
73,AFG,1951,,7.2596,,,28.0,
74,AFG,1952,,7.2601,,,28.4,
75,AFG,1953,,7.2662,,,28.9,
76,AFG,1954,,7.2542,,,29.2,
77,AFG,1955,,7.2621,,,29.9,
78,AFG,1956,,7.2688,99107184.0,,30.4,
79,AFG,1957,,7.2636,101785760.0,,30.9,
80,AFG,1958,,7.2691,104464328.0,,31.5,
81,AFG,1959,,7.2759,107589328.0,,32.0,
82,AFG,1960,,7.2817,192063584.0,,32.5,
83,AFG,1961,,7.2842,196031840.0,,33.1,
84,AFG,1962,,7.2918,195238192.0,,33.5,
85,AFG,1963,,7.3016,268254112.0,,34.0,
86,AFG,1964,,7.3043,285714432.0,,34.5,
87,AFG,1965,,7.3053,359523968.0,,35.0,
88,AFG,1966,161659.0,7.3203,500000224.0,,35.5,
89,AFG,1967,162579.0,7.3387,605919040.0,,35.9,
90,AFG,1968,163573.0,7.3628,572222720.0,,36.4,
91,AFG,1969,164638.0,7.3887,587037568.0,,36.9,
92,AFG,1970,165430.0,7.3996,728703360.0,,37.4,1.08
93,AFG,1971,166326.0,7.432,752439296.0,,37.9,
94,AFG,1972,167042.0,7.4531,638844416.0,,38.4,
95,AFG,1973,167581.0,7.4868,707496384.0,,39.0,
96,AFG,1974,167764.0,7.5258,922051840.0,,39.5,
97,AFG,1975,167508.0,7.542,1069830272.0,,40.1,1.48
98,AFG,1976,166678.0,7.5613,1422192128.0,,40.6,
99,AFG,1977,165169.0,7.5913,1693063424.0,,41.2,
100,AFG,1978,162749.0,7.5993,1720966528.0,,40.3,
101,AFG,1979,159445.0,7.6123,1746097024.0,,39.1,
102,AFG,1980,155527.0,7.5885,1567015296.0,,39.6,1.96
103,AFG,1981,150725.0,7.5681,1731187456.0,,40.2,
104,AFG,1982,145220.0,7.5527,2585170432.0,,37.8,
105,AFG,1983,139324.0,7.537,2632896512.0,,38.2,
106,AFG,1984,133190.0,7.5127,1972741504.0,,33.3,
107,AFG,1985,127325.0,7.5174,1950452736.0,,33.6,2.49
108,AFG,1986,122025.0,7.5186,1624993280.0,,39.4,
109,AFG,1987,117478.0,7.5255,1101413632.0,,39.8,
110,AFG,1988,114006.0,7.5309,944245888.0,,44.0,
111,AFG,1989,111593.0,7.5334,1589049728.0,,45.2,
112,AFG,1990,110441.0,7.5646,,,46.0,2.91
113,AFG,1991,110384.0,7.6056,,,46.7,
114,AFG,1992,111348.0,7.6648,,,47.6,
115,AFG,1993,113046.0,7.7186,,,51.5,
116,AFG,1994,115248.0,7.7165,,,51.5,
117,AFG,1995,117726.0,7.7123,,,52.5,3.28
118,AFG,1996,120114.0,7.7088,,,53.2,
119,AFG,1997,122200.0,7.6666,,,53.6,
120,AFG,1998,123907.0,7.6421,,,52.9,
121,AFG,1999,125086.0,7.5994,,,54.8,
122,AFG,2000,125549.0,7.5338,,,55.3,3.5
123,AFG,2001,125380.0,7.4458,1710008832.0,,55.8,
124,AFG,2002,124472.0,7.3394,2754842112.0,,56.5,
125,AFG,2003,123034.0,7.2199,2807356416.0,,57.3,
126,AFG,2004,121027.0,7.0686,2886813696.0,,57.9,
127,AFG,2005,118653.0,6.9047,3451279104.0,0.748,58.4,3.61
128,AFG,2006,115865.0,6.7215,3835713024.0,0.749,58.7,
129,AFG,2007,112714.0,,4919676928.0,0.752,59.1,
130,AFG,2008,109221.0,,5543301632.0,0.755,59.9,
131,AFG,2009,105530.0,,,0.755,60.4,
132,AFG,2010,101658.0,,,0.753,60.9,3.65
133,AFG,2011,97717.0,,,0.746,61.4,
134,AFG,2012,93811.0,,,0.738,61.9,
135,AFG,2013,90018.0,,,0.728,62.4,
136,AFG,2014,86438.0,,,0.718,62.5,
137,AFG,2015,83000.0,,,0.706,62.7,
138,AFG,2016,79812.0,,,0.692,63.1,
139,AFG,2017,76996.0,,,0.678,63.0,
140,AFG,2018,74352.0,,,0.671,63.1,
141,AFG,2019,72026.0,,,0.665,63.6,
142,AFG,2020,69714.0,,,0.674,62.6,
143,AFG,2021,,,,0.678,62.0,
144,AGO,1940,,,,,26.98,
145,AGO,1950,,5.7712,,,36.3,
146,AGO,1951,,5.8311,,,36.4,
147,AGO,1952,,5.9482,,,36.5,
148,AGO,1953,,6.0599,,,36.7,
149,AGO,1954,,6.1662,,,36.9,
150,AGO,1955,,6.2674,,,37.1,
151,AGO,1956,,6.3634,,,37.3,
152,AGO,1957,,6.4548,,,37.5,
153,AGO,1958,,6.542,,,37.7,
154,AGO,1959,,6.6262,,,38.0,
155,AGO,1960,,6.7085,,,38.2,
156,AGO,1961,,6.79,,,37.3,
157,AGO,1962,,6.8717,,,37.5,
158,AGO,1963,,6.9539,,,37.8,
159,AGO,1964,,7.0358,,,38.1,
160,AGO,1965,,7.1165,,,38.5,
161,AGO,1966,,7.1942,,,38.8,
162,AGO,1967,,7.2667,,,39.1,
163,AGO,1968,,7.332,,,39.5,
164,AGO,1969,,7.3884,,,39.8,
165,AGO,1970,,7.4339,,,40.2,
166,AGO,1971,,7.4669,,,40.6,
167,AGO,1972,,7.4879,,,40.9,
168,AGO,1973,,7.4983,,,41.3,
169,AGO,1974,,7.4995,,,41.7,
170,AGO,1975,,7.4942,1832167424.0,,41.2,
171,AGO,1976,,7.4852,2139836544.0,,41.2,
172,AGO,1977,,7.4755,2387907072.0,,41.4,
173,AGO,1978,,7.467,2432612352.0,,41.8,
174,AGO,1979,,7.4611,2443631104.0,,42.2,
175,AGO,1980,,7.4585,2562234624.0,,42.4,
176,AGO,1981,,7.4592,3164747776.0,,42.8,
177,AGO,1982,,7.4611,3986807040.0,,43.1,
178,AGO,1983,,7.4617,4425303040.0,,42.1,
179,AGO,1984,,7.4592,3092933888.0,,42.4,
180,AGO,1985,106721.0,7.451,3412317952.0,,42.6,
181,AGO,1986,110028.0,7.4347,3505127936.0,,42.8,
182,AGO,1987,113693.0,7.4089,3725411328.0,,40.9,
183,AGO,1988,117531.0,7.3731,3757820928.0,,41.5,
184,AGO,1989,121336.0,7.3275,6128071168.0,,41.8,
185,AGO,1990,125306.0,7.2723,5647205888.0,0.725,41.9,
186,AGO,1991,129175.0,7.2082,8232771584.0,0.723,43.8,
187,AGO,1992,133137.0,7.138,5892259840.0,0.721,42.2,
188,AGO,1993,136979.0,7.0645,6742345728.0,0.719,42.1,
189,AGO,1994,140734.0,6.9903,6809298944.0,0.717,43.4,
190,AGO,1995,144104.0,6.9181,3147799808.0,0.714,45.8,
191,AGO,1996,146944.0,6.8506,4824467456.0,0.712,46.0,
192,AGO,1997,149207.0,6.7885,4672722432.0,0.708,46.3,
193,AGO,1998,150828.0,6.7324,3891904000.0,0.683,45.1,
194,AGO,1999,152070.0,6.6826,3802865408.0,0.678,45.4,
195,AGO,2000,152626.0,6.6391,6034058752.0,0.671,46.0,
196,AGO,2001,152636.0,6.6013,6207481344.0,0.665,46.6,
197,AGO,2002,151954.0,6.5668,8338516992.0,0.657,47.4,
198,AGO,2003,150464.0,6.5332,8690334720.0,0.649,49.6,
199,AGO,2004,147901.0,6.4987,10727438336.0,0.643,50.6,
200,AGO,2005,144834.0,6.4614,15528485888.0,0.636,51.6,
201,AGO,2006,140794.0,6.4195,22712037376.0,0.628,52.4,
202,AGO,2007,136584.0,6.3724,,0.621,53.6,
203,AGO,2008,131901.0,6.3195,,0.568,54.6,
204,AGO,2009,127021.0,6.2603,,0.56,55.8,
205,AGO,2010,122204.0,6.1938,,0.551,56.7,
206,AGO,2011,117349.0,6.1196,,0.544,57.6,
207,AGO,2012,112401.0,6.0388,,0.545,58.6,
208,AGO,2013,107928.0,5.9532,,0.54,59.3,
209,AGO,2014,104029.0,5.8643,,0.531,60.0,
210,AGO,2015,100744.0,5.7744,,0.53,60.7,
211,AGO,2016,98196.0,5.6857,,0.529,61.1,
212,AGO,2017,96078.0,5.6001,,0.538,61.7,
213,AGO,2018,94007.0,5.5187,,0.537,62.1,
214,AGO,2019,92107.0,5.4423,,0.537,62.4,
215,AGO,2020,90589.0,5.3711,,0.537,62.3,
216,AGO,2021,,5.3044,,0.537,61.6,
217,AIA,1950,,6.755,,,55.3,
218,AIA,1951,,6.8508,,,55.5,
219,AIA,1952,,6.9453,,,56.0,
220,AIA,1953,,7.0247,,,56.5,
221,AIA,1954,,7.0737,,,57.0,
222,AIA,1955,,7.115,,,57.6,
223,AIA,1956,,7.1387,,,58.1,
224,AIA,1957,,7.1408,,,58.7,
225,AIA,1958,,7.1068,,,59.2,
226,AIA,1959,,7.0683,,,59.9,
227,AIA,1960,,7.0315,,,59.0,
228,AIA,1961,,7.0101,,,60.9,
229,AIA,1962,,6.9913,,,61.3,
230,AIA,1963,,6.9609,,,61.9,
231,AIA,1964,,6.918,,,62.4,
232,AIA,1965,,6.7621,,,62.9,
233,AIA,1966,,6.5713,,,63.3,
234,AIA,1967,,6.3668,,,63.7,
235,AIA,1968,,6.1176,,,64.2,
236,AIA,1969,,5.868,,,64.7,
237,AIA,1970,,5.6224,,,65.1,
238,AIA,1971,,5.3825,,,65.5,
239,AIA,1972,,5.1625,,,66.0,
240,AIA,1973,,4.941,,,66.4,
241,AIA,1974,,4.7354,,,66.8,
242,AIA,1975,,4.5293,,,67.3,
243,AIA,1976,,4.3292,,,67.7,
244,AIA,1977,,4.1129,,,68.0,
245,AIA,1978,,3.912,,,68.4,
246,AIA,1979,,3.7329,,,68.7,
247,AIA,1980,,3.5646,,,69.0,
248,AIA,1981,,3.4165,,,69.1,
249,AIA,1982,,3.2706,,,69.4,
250,AIA,1983,,3.1131,,,69.5,
251,AIA,1984,,2.955,,,69.7,
252,AIA,1985,,2.7454,,,69.9,
253,AIA,1986,,2.5333,,,70.2,
254,AIA,1987,,2.3359,,,70.5,
255,AIA,1988,,2.199,,,70.9,
256,AIA,1989,,2.4069,,,71.2,
257,AIA,1990,,2.0503,,,71.8,
258,AIA,1991,,2.0228,,,72.6,
259,AIA,1992,,1.9601,,,73.3,
260,AIA,1993,,1.9715,,,73.8,
261,AIA,1994,,1.9384,,,74.1,
262,AIA,1995,,1.9655,,,74.4,
263,AIA,1996,,1.8957,,,74.7,
264,AIA,1997,,1.8679,,,75.0,
265,AIA,1998,,1.857,,,75.3,
266,AIA,1999,,1.828,,,75.6,
267,AIA,2000,,1.7818,,,76.0,
268,AIA,2001,,1.9924,,,76.3,
269,AIA,2002,,1.6149,,,76.5,
270,AIA,2003,,1.5072,,,76.5,
271,AIA,2004,,1.4878,,,76.5,
272,AIA,2005,,1.5131,,,76.5,
273,AIA,2006,,1.6541,,,76.6,
274,AIA,2007,,1.6841,,,76.9,
275,AIA,2008,,1.6919,,,77.1,
276,AIA,2009,,1.6971,,,77.4,
277,AIA,2010,,1.6958,,,77.7,
278,AIA,2011,,1.684,,,77.9,
279,AIA,2012,,1.6684,,,77.8,
280,AIA,2013,,1.6489,,,77.6,
281,AIA,2014,,1.3779,,,77.4,
282,AIA,2015,,1.3627,,,77.1,
283,AIA,2016,,1.3419,,,76.8,
284,AIA,2017,,1.3196,,,75.9,
285,AIA,2018,,1.2956,,,76.8,
286,AIA,2019,,1.2884,,,76.9,
287,AIA,2020,,1.277,,,76.9,
288,AIA,2021,,1.273,,,76.6,
289,ALB,1949,,,17987934.0,,,
290,ALB,1950,,5.963,30614300.0,,44.7,
291,ALB,1951,,6.0411,37142872.0,,45.1,
292,ALB,1952,,6.2066,39785732.0,,46.0,
293,ALB,1953,,6.325,39821448.0,,46.5,
294,ALB,1954,,6.4017,38092872.0,,47.6,
295,ALB,1955,,6.4932,47264308.0,,48.5,
296,ALB,1956,,6.4854,52557168.0,,49.6,
297,ALB,1957,,6.4578,70085744.0,,50.7,
298,ALB,1958,,6.5084,108500048.0,,52.0,
299,ALB,1959,,6.4885,122785768.0,,53.2,
300,ALB,1960,,6.4547,125853632.0,,54.4,
301,ALB,1961,,6.3533,138339360.0,,55.6,
302,ALB,1962,,6.2066,113932200.0,,56.7,
303,ALB,1963,,6.0474,115800048.0,,57.8,
304,ALB,1964,,5.8485,142539344.0,,59.0,
305,ALB,1965,,5.6229,171178640.0,,60.0,
306,ALB,1966,,5.4652,200985808.0,,61.0,
307,ALB,1967,,5.4039,235533520.0,,62.0,
308,ALB,1968,,5.3381,309587744.0,,62.9,
309,ALB,1969,,5.2579,350162784.0,,63.9,
310,ALB,1970,,5.1114,399258656.0,,64.8,1.67
311,ALB,1971,,5.0148,431046848.0,,65.6,
312,ALB,1972,,4.8984,466110016.0,,66.4,
313,ALB,1973,,4.7643,524365056.0,,67.1,
314,ALB,1974,,4.6421,576675008.0,,67.8,
315,ALB,1975,,4.5236,632776000.0,,68.3,1.93
316,ALB,1976,,4.3401,808236096.0,,68.7,
317,ALB,1977,,4.1361,973920320.0,,69.1,
318,ALB,1978,,3.9456,1003412032.0,,69.3,
319,ALB,1979,,3.7628,1043132736.0,,69.6,
320,ALB,1980,,3.6143,703777536.0,,70.5,2.12
321,ALB,1981,,3.5088,932235904.0,,70.7,
322,ALB,1982,,3.4522,1103792256.0,,71.0,
323,ALB,1983,4767.0,3.3608,1285922816.0,,71.3,
324,ALB,1984,4494.0,3.2965,1446658944.0,,71.5,
325,ALB,1985,4249.0,3.2046,1531517952.0,,71.7,2.66
326,ALB,1986,4031.0,3.1159,1482925696.0,,71.9,
327,ALB,1987,3829.0,3.061,1319696896.0,,72.4,
328,ALB,1988,3635.0,3.0041,1195173504.0,,72.6,
329,ALB,1989,3445.0,2.9416,1427165312.0,,72.9,
330,ALB,1990,3259.0,2.9003,1183586816.0,,73.1,3.0
331,ALB,1991,3075.0,2.8259,645924544.0,,73.4,
332,ALB,1992,2890.0,2.767,404227616.0,,73.7,
333,ALB,1993,2702.0,2.7071,818824960.0,,73.9,
334,ALB,1994,2514.0,2.7066,1297492864.0,,74.1,
335,ALB,1995,2326.0,2.6849,1536327424.0,,74.4,3.17
336,ALB,1996,2139.0,2.6149,2124710528.0,,74.6,
337,ALB,1997,1955.0,2.4971,1441513856.0,,73.9,
338,ALB,1998,1776.0,2.3969,1634626304.0,,75.0,
339,ALB,1999,1607.0,2.3176,2110516992.0,0.33,75.2,
340,ALB,2000,1449.0,2.231,2400530432.0,0.319,75.4,3.51
341,ALB,2001,1302.0,2.1503,2820826368.0,0.282,75.6,
342,ALB,2002,1166.0,2.0359,2959186432.0,0.297,75.9,
343,ALB,2003,1038.0,1.9776,3519843584.0,0.305,76.1,
344,ALB,2004,921.0,1.8898,3995233024.0,0.301,76.4,
345,ALB,2005,815.0,1.8026,4487185408.0,0.306,76.6,2.35
346,ALB,2006,723.0,1.7242,,0.285,76.8,
347,ALB,2007,644.0,1.6709,,0.286,77.5,
348,ALB,2008,577.0,1.648,,0.293,77.7,
349,ALB,2009,520.0,1.6474,,0.242,77.8,
350,ALB,2010,473.0,1.6564,,0.246,77.9,0.93
351,ALB,2011,432.0,1.6713,,0.252,78.1,
352,ALB,2012,398.0,1.6919,,0.235,78.1,
353,ALB,2013,372.0,1.6967,,0.225,78.1,
354,ALB,2014,352.0,1.6745,,0.219,78.4,
355,ALB,2015,339.0,1.613,,0.204,78.6,
356,ALB,2016,331.0,1.5505,,0.191,78.9,
357,ALB,2017,327.0,1.4909,,0.17,79.0,
358,ALB,2018,326.0,1.4402,,0.164,79.2,
359,ALB,2019,327.0,1.4142,,0.156,79.3,
360,ALB,2020,327.0,1.3996,,0.156,77.0,
361,ALB,2021,,1.3897,,0.144,76.5,
362,AND,1950,,2.2227,,,64.6,
363,AND,1951,,2.2562,,,64.2,
364,AND,1952,,2.2863,,,67.4,
365,AND,1953,,2.305,,,68.2,
366,AND,1954,,2.3151,,,69.5,
367,AND,1955,,2.3296,,,69.3,
368,AND,1956,,2.3724,,,69.3,
369,AND,1957,,2.4163,,,69.1,
370,AND,1958,,2.4591,,,71.4,
371,AND,1959,,2.5141,,,71.2,
372,AND,1960,,2.5431,,,72.0,
373,AND,1961,,2.5771,,,72.1,
374,AND,1962,,2.5982,,,72.4,
375,AND,1963,,2.6312,,,72.2,
376,AND,1964,,2.6699,,,72.8,
377,AND,1965,,2.7104,,,73.4,
378,AND,1966,,2.7521,,,73.4,
379,AND,1967,,2.7827,,,73.3,
380,AND,1968,,2.7985,,,73.5,
381,AND,1969,,2.8156,,,73.0,
382,AND,1970,,2.8248,32757370.0,,74.3,
383,AND,1971,,2.8319,36738952.0,,73.7,
384,AND,1972,,2.847,45409992.0,,74.9,
385,AND,1973,,2.8024,61569152.0,,74.6,
386,AND,1974,,2.7325,79800952.0,,74.9,
387,AND,1975,,2.6035,99500048.0,,75.1,
388,AND,1976,,2.191,126485848.0,,75.3,
389,AND,1977,,1.9728,145609936.0,,75.8,
390,AND,1978,,1.7684,160634112.0,,75.9,
391,AND,1979,,1.6086,194325312.0,,76.4,
392,AND,1980,,1.9711,192074032.0,,76.8,
393,AND,1981,,1.8154,193573872.0,,77.0,
394,AND,1982,,1.9636,215191312.0,,77.5,
395,AND,1983,,1.6859,216290832.0,,77.3,
396,AND,1984,,1.3281,248151232.0,,77.6,
397,AND,1985,,1.3786,270197984.0,,77.5,
398,AND,1986,,1.3903,328816352.0,,77.7,
399,AND,1987,,1.2944,374071072.0,,77.8,
400,AND,1988,,1.3535,405564064.0,,77.8,
401,AND,1989,,1.359,486181664.0,,77.8,
402,AND,1990,10.0,1.25,579503168.0,,78.4,
403,AND,1991,10.0,1.3094,627623808.0,,78.0,
404,AND,1992,9.0,1.3517,689422336.0,,80.3,
405,AND,1993,9.0,1.2597,671484928.0,,78.7,
406,AND,1994,8.0,1.2016,664891200.0,,82.6,
407,AND,1995,8.0,1.1718,746933184.0,,79.0,
408,AND,1996,7.0,1.1861,784547648.0,,80.3,
409,AND,1997,7.0,1.2422,721181120.0,,80.9,
410,AND,1998,6.0,1.2496,731806912.0,,79.4,
411,AND,1999,6.0,1.3808,766291968.0,,81.3,
412,AND,2000,6.0,1.2629,926423168.0,,80.9,
413,AND,2001,6.0,1.3385,1030871232.0,,81.7,
414,AND,2002,5.0,1.3586,1145997824.0,,82.2,
415,AND,2003,5.0,1.2003,1453908224.0,,83.9,
416,AND,2004,5.0,1.2714,1593159808.0,,80.1,
417,AND,2005,5.0,1.2913,1786467456.0,,81.8,
418,AND,2006,5.0,1.2918,1922015488.0,,83.0,
419,AND,2007,4.0,1.2466,2004478080.0,,82.7,
420,AND,2008,4.0,1.4038,2176598016.0,,82.7,
421,AND,2009,4.0,1.3564,2342916864.0,,82.8,
422,AND,2010,4.0,1.4288,2165666304.0,,82.8,
423,AND,2011,3.0,1.365,2139078144.0,,82.9,
424,AND,2012,3.0,1.302,1991678336.0,,82.9,
425,AND,2013,3.0,1.197,2078322944.0,,82.9,
426,AND,2014,3.0,1.2552,,,82.9,
427,AND,2015,2.0,1.3522,,,83.0,
428,AND,2016,2.0,1.3268,,,83.0,
429,AND,2017,2.0,1.2156,,,83.0,
430,AND,2018,2.0,1.1732,,,83.0,
431,AND,2019,2.0,1.1715,,,83.0,
432,AND,2020,1.0,1.1767,,,79.0,
433,AND,2021,,1.1254,,,80.4,
434,ARE,1950,,6.8758,,,41.1,
435,ARE,1951,,6.8745,,,41.3,
436,ARE,1952,,6.872,,,42.2,
437,ARE,1953,,6.8872,,,42.8,
438,ARE,1954,,6.8786,,,43.6,
439,ARE,1955,,6.8514,,,44.4,
440,ARE,1956,,6.8378,,,45.2,
441,ARE,1957,,6.8142,,,46.0,
442,ARE,1958,,6.7797,,,47.0,
443,ARE,1959,,6.7454,,,47.9,
444,ARE,1960,,6.7182,,,48.8,
445,ARE,1961,,6.6782,,,49.7,
446,ARE,1962,,6.6589,,,50.7,
447,ARE,1963,,6.6193,,,51.6,
448,ARE,1964,,6.5726,,,52.8,
449,ARE,1965,860.0,6.5223,,,54.0,
450,ARE,1966,859.0,6.4941,,,55.2,
451,ARE,1967,858.0,6.4919,,,56.3,
452,ARE,1968,856.0,6.4965,,,57.5,
453,ARE,1969,855.0,6.4851,,,58.8,
454,ARE,1970,856.0,6.4859,,,60.0,2.55
455,ARE,1971,862.0,6.4693,,,61.2,
456,ARE,1972,871.0,6.4495,1917307648.0,,62.3,
457,ARE,1973,885.0,6.3998,1164360704.0,,63.4,
458,ARE,1974,900.0,6.331,3360160256.0,,64.3,
459,ARE,1975,917.0,6.2575,6654347776.0,,65.1,2.5
460,ARE,1976,933.0,6.2081,10692239360.0,,65.8,
461,ARE,1977,947.0,6.1546,14258291712.0,,66.5,
462,ARE,1978,957.0,6.0931,12399215616.0,,67.2,
463,ARE,1979,963.0,6.0302,14744070144.0,,67.8,
464,ARE,1980,962.0,5.9481,18760321024.0,,68.5,3.21
465,ARE,1981,957.0,5.8125,24550334464.0,,69.1,
466,ARE,1982,949.0,5.6507,26689036288.0,,69.7,
467,ARE,1983,937.0,5.4807,28238422016.0,,69.9,
468,ARE,1984,923.0,5.3056,31431512064.0,,70.5,
469,ARE,1985,905.0,5.1262,31640231936.0,,70.7,4.75
470,ARE,1986,883.0,5.0079,23156228096.0,,71.0,
471,ARE,1987,860.0,4.9002,22264905728.0,,71.5,
472,ARE,1988,832.0,4.785,20393097216.0,,71.6,
473,ARE,1989,804.0,4.6715,25342285824.0,,71.8,
474,ARE,1990,775.0,4.5367,28553885696.0,0.659,71.9,6.42
475,ARE,1991,745.0,4.2518,29230850048.0,0.647,72.2,
476,ARE,1992,715.0,4.0896,30904068096.0,0.64,72.3,
477,ARE,1993,686.0,3.817,37088473088.0,0.632,72.5,
478,ARE,1994,659.0,3.7645,38751551488.0,0.635,72.6,
479,ARE,1995,634.0,3.2743,41659658240.0,0.627,72.7,8.66
480,ARE,1996,614.0,3.2324,47156072448.0,0.624,72.8,
481,ARE,1997,597.0,3.0621,48157704192.0,0.616,72.9,
482,ARE,1998,584.0,2.907,45693980672.0,0.609,73.1,
483,ARE,1999,577.0,2.793,52192116736.0,0.605,73.7,
484,ARE,2000,576.0,2.733,68959805440.0,0.605,74.4,9.7
485,ARE,2001,582.0,2.621,71765950464.0,0.602,74.6,
486,ARE,2002,594.0,2.54,73271894016.0,0.599,74.9,
487,ARE,2003,612.0,2.4914,76158664704.0,0.597,76.2,
488,ARE,2004,635.0,2.3839,80738721792.0,0.592,76.5,
489,ARE,2005,662.0,2.2042,99338993664.0,0.584,76.7,9.01
490,ARE,2006,691.0,2.0722,120711684096.0,0.311,76.9,
491,ARE,2007,722.0,1.99,128899268608.0,0.202,77.1,
492,ARE,2008,749.0,1.9168,,0.193,77.5,
493,ARE,2009,770.0,1.8516,,0.185,78.0,
494,ARE,2010,784.0,1.7897,,0.175,78.3,8.54
495,ARE,2011,791.0,1.7245,,0.181,78.5,
496,ARE,2012,792.0,1.6664,,0.171,78.7,
497,ARE,2013,789.0,1.6017,,0.161,78.9,
498,ARE,2014,780.0,1.5451,,0.151,79.0,
499,ARE,2015,767.0,1.4859,,0.126,79.2,
500,ARE,2016,748.0,1.4377,,0.118,79.3,
501,ARE,2017,726.0,1.4188,,0.112,79.5,
502,ARE,2018,703.0,1.3555,,0.103,79.6,
503,ARE,2019,680.0,1.3337,,0.056,79.7,
504,ARE,2020,658.0,1.46,,0.05,78.9,
505,ARE,2021,,1.4597,,0.049,78.7,
506,ARG,1884,,,34731868.0,,,
507,ARG,1885,,,43635772.0,,,
508,ARG,1886,,,47171548.0,,,
509,ARG,1887,,,50675400.0,,,
510,ARG,1888,,,56164404.0,,,
511,ARG,1889,,,79032696.0,,,
512,ARG,1890,,,106984992.0,,,
513,ARG,1891,,,149618560.0,,,
514,ARG,1892,,,128251600.0,,,
515,ARG,1893,,,125805304.0,,,
516,ARG,1894,,,132818440.0,,,
517,ARG,1895,,,158730912.0,,,
518,ARG,1896,,,145451280.0,,,
519,ARG,1897,,,140730432.0,,,
520,ARG,1898,,,147809712.0,,,
521,ARG,1899,,,139145696.0,,,
522,ARG,1900,,,152116944.0,,,
523,ARG,1901,,,144522112.0,,,
524,ARG,1902,,,155859584.0,,,
525,ARG,1903,,,168530816.0,,,
526,ARG,1904,,,190879744.0,,,
527,ARG,1905,,,235526464.0,,,
528,ARG,1906,,,261244336.0,,,
529,ARG,1907,,,275489344.0,,,
530,ARG,1908,,,291189440.0,,,
531,ARG,1909,,,332458240.0,,,
532,ARG,1910,,,385012832.0,,,
533,ARG,1911,,,342505632.0,,,
534,ARG,1912,,,378712064.0,,,
535,ARG,1913,,,402102496.0,,,
